R ,64,C ,64,N ,10,D ,1,Rate ,1,T ,0.011
R ,64,C ,64,N ,10,D ,2,Rate ,1,T ,0.006
R ,64,C ,64,N ,10,D ,3,Rate ,1,T ,0.007
R ,64,C ,64,N ,10,D ,4,Rate ,1,T ,0.008
R ,64,C ,64,N ,10,D ,5,Rate ,1,T ,0.007
R ,64,C ,64,N ,10,D ,6,Rate ,1,T ,0.008
R ,64,C ,64,N ,10,D ,8,Rate ,1,T ,0.011
R ,64,C ,64,N ,10,D ,10,Rate ,1,T ,0.011
R ,64,C ,64,N ,10,D ,12,Rate ,1,T ,0.014
R ,64,C ,64,N ,10,D ,14,Rate ,1,T ,0.018
R ,64,C ,64,N ,10,D ,16,Rate ,1,T ,0.018
R ,64,C ,64,N ,10,D ,18,Rate ,1,T ,0.02
R ,64,C ,64,N ,10,D ,20,Rate ,1,T ,0.025
R ,64,C ,64,N ,10,D ,25,Rate ,1,T ,0.024
R ,64,C ,64,N ,10,D ,30,Rate ,1,T ,0.034
R ,64,C ,64,N ,20,D ,1,Rate ,1,T ,0.008
R ,64,C ,64,N ,20,D ,2,Rate ,1.033333,T ,0.013
R ,64,C ,64,N ,20,D ,3,Rate ,1,T ,0.008
R ,64,C ,64,N ,20,D ,4,Rate ,1,T ,0.01
R ,64,C ,64,N ,20,D ,5,Rate ,1,T ,0.011
R ,64,C ,64,N ,20,D ,6,Rate ,1,T ,0.013
R ,64,C ,64,N ,20,D ,8,Rate ,1,T ,0.017
R ,64,C ,64,N ,20,D ,10,Rate ,1,T ,0.022
R ,64,C ,64,N ,20,D ,12,Rate ,1,T ,0.036
R ,64,C ,64,N ,20,D ,14,Rate ,1,T ,0.033
R ,64,C ,64,N ,20,D ,16,Rate ,1,T ,0.029
R ,64,C ,64,N ,20,D ,18,Rate ,1,T ,0.036
R ,64,C ,64,N ,20,D ,20,Rate ,1,T ,0.047
R ,64,C ,64,N ,20,D ,25,Rate ,1,T ,0.039
R ,64,C ,64,N ,20,D ,30,Rate ,1,T ,0.074
R ,64,C ,64,N ,30,D ,1,Rate ,1,T ,0.01
R ,64,C ,64,N ,30,D ,2,Rate ,1,T ,0.01
R ,64,C ,64,N ,30,D ,3,Rate ,1,T ,0.012
R ,64,C ,64,N ,30,D ,4,Rate ,1,T ,0.016
R ,64,C ,64,N ,30,D ,5,Rate ,1,T ,0.016
R ,64,C ,64,N ,30,D ,6,Rate ,1.006897,T ,0.022
R ,64,C ,64,N ,30,D ,8,Rate ,1,T ,0.024
R ,64,C ,64,N ,30,D ,10,Rate ,1,T ,0.034
R ,64,C ,64,N ,30,D ,12,Rate ,1.003165,T ,0.04
