R ,8 ,C ,5 ,N ,10 ,D ,1,Rate ,1.000000,T ,0.032000 ,
R ,8 ,C ,5 ,N ,10 ,D ,2,Rate ,1.000000,T ,0.025000 ,
R ,8 ,C ,5 ,N ,10 ,D ,3,Rate ,1.006024,T ,0.026000 ,
R ,8 ,C ,5 ,N ,10 ,D ,4,Rate ,1.000000,T ,0.028000 ,
R ,8 ,C ,5 ,N ,10 ,D ,5,Rate ,1.000000,T ,0.026000 ,
R ,8 ,C ,5 ,N ,10 ,D ,6,Rate ,1.000000,T ,0.026000 ,
R ,8 ,C ,5 ,N ,10 ,D ,8,Rate ,1.000000,T ,0.027000 ,
R ,8 ,C ,5 ,N ,10 ,D ,10,Rate ,1.006006,T ,0.026000 ,
R ,8 ,C ,5 ,N ,10 ,D ,12,Rate ,1.006061,T ,0.030000 ,
R ,8 ,C ,5 ,N ,10 ,D ,14,Rate ,1.005970,T ,0.026000 ,
R ,8 ,C ,5 ,N ,10 ,D ,16,Rate ,1.000000,T ,0.028000 ,
R ,8 ,C ,5 ,N ,10 ,D ,18,Rate ,1.002907,T ,0.076000 ,
R ,8 ,C ,5 ,N ,10 ,D ,20,Rate ,1.000000,T ,0.045000 ,
R ,8 ,C ,5 ,N ,10 ,D ,25,Rate ,1.000000,T ,0.048000 ,
R ,8 ,C ,5 ,N ,10 ,D ,30,Rate ,1.005988,T ,0.038000 ,
R ,8 ,C ,5 ,N ,10 ,D ,35,Rate ,1.000000,T ,0.047000 ,
R ,8 ,C ,5 ,N ,20 ,D ,1,Rate ,1.000000,T ,0.051000 ,
R ,8 ,C ,5 ,N ,20 ,D ,2,Rate ,1.006015,T ,0.047000 ,
R ,8 ,C ,5 ,N ,20 ,D ,3,Rate ,1.000000,T ,0.050000 ,
R ,8 ,C ,5 ,N ,20 ,D ,4,Rate ,1.002976,T ,0.050000 ,
R ,8 ,C ,5 ,N ,20 ,D ,5,Rate ,1.005882,T ,0.057000 ,
R ,8 ,C ,5 ,N ,20 ,D ,6,Rate ,1.001497,T ,0.061000 ,
R ,8 ,C ,5 ,N ,20 ,D ,8,Rate ,1.001506,T ,0.052000 ,
R ,8 ,C ,5 ,N ,20 ,D ,10,Rate ,1.002959,T ,0.059000 ,
R ,8 ,C ,5 ,N ,20 ,D ,12,Rate ,1.004491,T ,0.092000 ,
R ,8 ,C ,5 ,N ,20 ,D ,14,Rate ,1.003035,T ,0.089000 ,
R ,8 ,C ,5 ,N ,20 ,D ,16,Rate ,1.002950,T ,0.114000 ,
R ,8 ,C ,5 ,N ,20 ,D ,18,Rate ,1.002990,T ,0.105000 ,
R ,8 ,C ,5 ,N ,20 ,D ,20,Rate ,1.000000,T ,0.078000 ,
R ,8 ,C ,5 ,N ,20 ,D ,25,Rate ,1.013393,T ,0.101000 ,
R ,8 ,C ,5 ,N ,20 ,D ,30,Rate ,1.000000,T ,0.183000 ,
R ,8 ,C ,5 ,N ,20 ,D ,35,Rate ,1.004412,T ,0.133000 ,
R ,8 ,C ,5 ,N ,30 ,D ,1,Rate ,1.001972,T ,0.073000 ,
R ,8 ,C ,5 ,N ,30 ,D ,2,Rate ,1.003968,T ,0.074000 ,
R ,8 ,C ,5 ,N ,30 ,D ,3,Rate ,1.002002,T ,0.072000 ,
R ,8 ,C ,5 ,N ,30 ,D ,4,Rate ,1.002970,T ,0.098000 ,
R ,8 ,C ,5 ,N ,30 ,D ,5,Rate ,1.000000,T ,0.081000 ,
R ,8 ,C ,5 ,N ,30 ,D ,6,Rate ,1.000000,T ,0.116000 ,
R ,8 ,C ,5 ,N ,30 ,D ,8,Rate ,1.001980,T ,0.117000 ,
R ,8 ,C ,5 ,N ,30 ,D ,10,Rate ,1.000000,T ,0.087000 ,
R ,8 ,C ,5 ,N ,30 ,D ,12,Rate ,1.005982,T ,0.154000 ,
R ,8 ,C ,5 ,N ,30 ,D ,14,Rate ,1.006958,T ,0.134000 ,
R ,8 ,C ,5 ,N ,30 ,D ,16,Rate ,1.004965,T ,0.141000 ,
