R ,17 ,C ,8 ,N ,10 ,D ,1,Rate ,1.000000,T ,0.913000 ,
R ,17 ,C ,8 ,N ,10 ,D ,2,Rate ,1.000000,T ,0.008000 ,
R ,17 ,C ,8 ,N ,10 ,D ,3,Rate ,1.250000,T ,0.006000 ,
R ,17 ,C ,8 ,N ,10 ,D ,4,Rate ,1.000000,T ,0.007000 ,
R ,17 ,C ,8 ,N ,10 ,D ,5,Rate ,1.258065,T ,0.009000 ,
R ,17 ,C ,8 ,N ,10 ,D ,6,Rate ,1.054054,T ,0.006000 ,
R ,17 ,C ,8 ,N ,10 ,D ,8,Rate ,1.000000,T ,0.008000 ,
R ,17 ,C ,8 ,N ,10 ,D ,10,Rate ,1.024691,T ,0.010000 ,
R ,17 ,C ,8 ,N ,10 ,D ,12,Rate ,1.026786,T ,0.017000 ,
R ,17 ,C ,8 ,N ,10 ,D ,14,Rate ,1.000000,T ,0.012000 ,
R ,17 ,C ,8 ,N ,10 ,D ,16,Rate ,1.007042,T ,0.018000 ,
R ,17 ,C ,8 ,N ,10 ,D ,18,Rate ,1.000000,T ,0.019000 ,
R ,17 ,C ,8 ,N ,10 ,D ,20,Rate ,1.000000,T ,0.017000 ,
R ,17 ,C ,8 ,N ,10 ,D ,25,Rate ,1.000000,T ,0.032000 ,
R ,17 ,C ,8 ,N ,10 ,D ,30,Rate ,1.000000,T ,0.024000 ,
R ,17 ,C ,8 ,N ,10 ,D ,35,Rate ,1.000000,T ,0.026000 ,
R ,17 ,C ,8 ,N ,10 ,D ,40,Rate ,1.000000,T ,0.036000 ,
R ,17 ,C ,8 ,N ,10 ,D ,45,Rate ,1.000000,T ,0.043000 ,
R ,17 ,C ,8 ,N ,10 ,D ,50,Rate ,1.000000,T ,0.055000 ,
R ,17 ,C ,8 ,N ,10 ,D ,55,Rate ,1.000000,T ,0.042000 ,
R ,17 ,C ,8 ,N ,10 ,D ,60,Rate ,1.000000,T ,0.060000 ,
R ,17 ,C ,8 ,N ,10 ,D ,65,Rate ,1.000000,T ,0.073000 ,
R ,17 ,C ,8 ,N ,10 ,D ,70,Rate ,1.000000,T ,0.095000 ,
R ,17 ,C ,8 ,N ,20 ,D ,1,Rate ,1.000000,T ,0.008000 ,
R ,17 ,C ,8 ,N ,20 ,D ,2,Rate ,1.000000,T ,0.009000 ,
R ,17 ,C ,8 ,N ,20 ,D ,3,Rate ,1.000000,T ,0.008000 ,
R ,17 ,C ,8 ,N ,20 ,D ,4,Rate ,1.000000,T ,0.010000 ,
R ,17 ,C ,8 ,N ,20 ,D ,5,Rate ,1.060606,T ,0.012000 ,
R ,17 ,C ,8 ,N ,20 ,D ,6,Rate ,1.000000,T ,0.012000 ,
R ,17 ,C ,8 ,N ,20 ,D ,8,Rate ,1.000000,T ,0.017000 ,
R ,17 ,C ,8 ,N ,20 ,D ,10,Rate ,1.000000,T ,0.018000 ,
R ,17 ,C ,8 ,N ,20 ,D ,12,Rate ,1.013953,T ,0.025000 ,
R ,17 ,C ,8 ,N ,20 ,D ,14,Rate ,1.000000,T ,0.024000 ,
R ,17 ,C ,8 ,N ,20 ,D ,16,Rate ,1.006920,T ,0.026000 ,
R ,17 ,C ,8 ,N ,20 ,D ,18,Rate ,1.011869,T ,0.037000 ,
R ,17 ,C ,8 ,N ,20 ,D ,20,Rate ,1.000000,T ,0.038000 ,
R ,17 ,C ,8 ,N ,20 ,D ,25,Rate ,1.006356,T ,0.051000 ,
R ,17 ,C ,8 ,N ,20 ,D ,30,Rate ,1.000000,T ,0.082000 ,
R ,17 ,C ,8 ,N ,20 ,D ,35,Rate ,1.005988,T ,0.098000 ,
R ,17 ,C ,8 ,N ,20 ,D ,40,Rate ,1.000000,T ,0.118000 ,
R ,17 ,C ,8 ,N ,20 ,D ,45,Rate ,1.000000,T ,0.087000 ,
R ,17 ,C ,8 ,N ,20 ,D ,50,Rate ,1.000000,T ,0.125000 ,
R ,17 ,C ,8 ,N ,20 ,D ,55,Rate ,1.001880,T ,0.289000 ,
R ,17 ,C ,8 ,N ,20 ,D ,60,Rate ,1.000000,T ,0.096000 ,
R ,17 ,C ,8 ,N ,20 ,D ,65,Rate ,1.000785,T ,0.193000 ,
R ,17 ,C ,8 ,N ,20 ,D ,70,Rate ,1.000000,T ,0.196000 ,
R ,17 ,C ,8 ,N ,30 ,D ,1,Rate ,1.000000,T ,0.009000 ,
R ,17 ,C ,8 ,N ,30 ,D ,2,Rate ,1.023256,T ,0.012000 ,
R ,17 ,C ,8 ,N ,30 ,D ,3,Rate ,1.033898,T ,0.011000 ,
R ,17 ,C ,8 ,N ,30 ,D ,4,Rate ,1.075949,T ,0.014000 ,
R ,17 ,C ,8 ,N ,30 ,D ,5,Rate ,1.046296,T ,0.023000 ,
R ,17 ,C ,8 ,N ,30 ,D ,6,Rate ,1.072581,T ,0.019000 ,
R ,17 ,C ,8 ,N ,30 ,D ,8,Rate ,1.025510,T ,0.024000 ,
R ,17 ,C ,8 ,N ,30 ,D ,10,Rate ,1.016667,T ,0.026000 ,
R ,17 ,C ,8 ,N ,30 ,D ,12,Rate ,1.006452,T ,0.037000 ,
R ,17 ,C ,8 ,N ,30 ,D ,14,Rate ,1.008152,T ,0.039000 ,
R ,17 ,C ,8 ,N ,30 ,D ,16,Rate ,1.009524,T ,0.045000 ,
R ,17 ,C ,8 ,N ,30 ,D ,18,Rate ,1.008016,T ,0.065000 ,
