Grid size (x, y)
34,26
id,type,station,x,y,weight_to_NORTH,weight_to_WEST,weight_to_SOUTH,weight_to_EAST,weight_for_WAIT
0,Induct,1001,0,0,1,inf,inf,1,1
1,Travel,None,0,1,1,inf,1,1,1
2,Travel,None,0,2,1,inf,1,1,1
3,Travel,None,0,3,1,inf,1,1,1
4,Travel,None,0,4,1,inf,1,1,1
5,Travel,None,0,5,1,inf,1,1,1
6,Travel,None,0,6,1,inf,1,1,1
7,Travel,None,0,7,1,inf,1,1,1
8,Travel,None,0,8,1,inf,1,1,1
9,Travel,None,0,9,1,inf,1,1,1
10,Travel,None,0,10,1,inf,1,1,1
11,Travel,None,0,11,1,inf,1,1,1
12,Travel,None,0,12,1,inf,1,1,1
13,Travel,None,0,13,1,inf,1,1,1
14,Travel,None,0,14,1,inf,1,1,1
15,Travel,None,0,15,1,inf,1,1,1
16,Travel,None,0,16,1,inf,1,1,1
17,Travel,None,0,17,1,inf,1,1,1
18,Travel,None,0,18,1,inf,1,1,1
19,Travel,None,0,19,1,inf,1,1,1
20,Travel,None,0,20,1,inf,1,1,1
21,Travel,None,0,21,1,inf,1,1,1
22,Travel,None,0,22,1,inf,1,1,1
23,Travel,None,0,23,1,inf,1,1,1
24,Travel,None,0,24,1,inf,1,1,1
25,Induct,1002,0,25,inf,inf,1,1,1
26,Induct,1003,1,0,1,1,inf,inf,1
27,Travel,None,1,1,1,1,1,inf,1
28,Travel,None,1,2,1,1,1,1,1
29,Travel,None,1,3,1,1,1,1,1
30,Eject,10001,1,4,1,1,1,inf,1
31,Eject,10001,1,5,1,1,1,inf,1
32,Travel,None,1,6,1,1,1,1,1
33,Travel,None,1,7,1,1,1,1,1
34,Eject,10002,1,8,1,1,1,inf,1
35,Eject,10002,1,9,1,1,1,inf,1
36,Travel,None,1,10,1,1,1,1,1
37,Travel,None,1,11,1,1,1,1,1
38,Eject,10003,1,12,1,1,1,inf,1
39,Eject,10003,1,13,1,1,1,inf,1
40,Travel,None,1,14,1,1,1,1,1
41,Travel,None,1,15,1,1,1,1,1
42,Eject,10004,1,16,1,1,1,inf,1
43,Eject,10004,1,17,1,1,1,inf,1
44,Travel,None,1,18,1,1,1,1,1
45,Travel,None,1,19,1,1,1,1,1
46,Eject,10005,1,20,1,1,1,inf,1
47,Eject,10005,1,21,1,1,1,inf,1
48,Travel,None,1,22,1,1,1,1,1
49,Travel,None,1,23,1,1,1,1,1
50,Travel,None,1,24,1,1,1,inf,1
51,Induct,1004,1,25,inf,1,1,inf,1
52,Obstacle,None,2,0,inf,inf,inf,inf,inf
53,Obstacle,None,2,1,inf,inf,inf,inf,inf
54,Travel,None,2,2,1,1,inf,1,1
55,Eject,10001,2,3,inf,1,1,1,1
56,Obstacle,None,2,4,inf,inf,inf,inf,inf
57,Obstacle,None,2,5,inf,inf,inf,inf,inf
58,Eject,10001,2,6,1,1,inf,1,1
59,Eject,10002,2,7,inf,1,1,1,1
60,Obstacle,None,2,8,inf,inf,inf,inf,inf
61,Obstacle,None,2,9,inf,inf,inf,inf,inf
62,Eject,10002,2,10,1,1,inf,1,1
63,Eject,10003,2,11,inf,1,1,1,1
64,Obstacle,None,2,12,inf,inf,inf,inf,inf
65,Obstacle,None,2,13,inf,inf,inf,inf,inf
66,Eject,10003,2,14,1,1,inf,1,1
67,Eject,10004,2,15,inf,1,1,1,1
68,Obstacle,None,2,16,inf,inf,inf,inf,inf
69,Obstacle,None,2,17,inf,inf,inf,inf,inf
70,Eject,10004,2,18,1,1,inf,1,1
71,Eject,10005,2,19,inf,1,1,1,1
72,Obstacle,None,2,20,inf,inf,inf,inf,inf
73,Obstacle,None,2,21,inf,inf,inf,inf,inf
74,Eject,10005,2,22,1,1,inf,1,1
75,Travel,None,2,23,inf,1,1,1,1
76,Obstacle,None,2,24,inf,inf,inf,inf,inf
77,Obstacle,None,2,25,inf,inf,inf,inf,inf
78,Obstacle,None,3,0,inf,inf,inf,inf,inf
79,Obstacle,None,3,1,inf,inf,inf,inf,inf
80,Travel,None,3,2,1,1,inf,1,1
81,Eject,10001,3,3,inf,1,1,1,1
82,Obstacle,None,3,4,inf,inf,inf,inf,inf
83,Obstacle,None,3,5,inf,inf,inf,inf,inf
84,Eject,10001,3,6,1,1,inf,1,1
85,Eject,10002,3,7,inf,1,1,1,1
86,Obstacle,None,3,8,inf,inf,inf,inf,inf
87,Obstacle,None,3,9,inf,inf,inf,inf,inf
88,Eject,10002,3,10,1,1,inf,1,1
89,Eject,10003,3,11,inf,1,1,1,1
90,Obstacle,None,3,12,inf,inf,inf,inf,inf
91,Obstacle,None,3,13,inf,inf,inf,inf,inf
92,Eject,10003,3,14,1,1,inf,1,1
93,Eject,10004,3,15,inf,1,1,1,1
94,Obstacle,None,3,16,inf,inf,inf,inf,inf
95,Obstacle,None,3,17,inf,inf,inf,inf,inf
96,Eject,10004,3,18,1,1,inf,1,1
97,Eject,10005,3,19,inf,1,1,1,1
98,Obstacle,None,3,20,inf,inf,inf,inf,inf
99,Obstacle,None,3,21,inf,inf,inf,inf,inf
100,Eject,10005,3,22,1,1,inf,1,1
101,Travel,None,3,23,inf,1,1,1,1
102,Obstacle,None,3,24,inf,inf,inf,inf,inf
103,Obstacle,None,3,25,inf,inf,inf,inf,inf
104,Induct,1005,4,0,1,inf,inf,1,1
105,Travel,None,4,1,1,inf,1,1,1
106,Travel,None,4,2,1,1,1,1,1
107,Travel,None,4,3,1,1,1,1,1
108,Eject,10001,4,4,1,inf,1,1,1
109,Eject,10001,4,5,1,inf,1,1,1
110,Travel,None,4,6,1,1,1,1,1
111,Travel,None,4,7,1,1,1,1,1
112,Eject,10002,4,8,1,inf,1,1,1
113,Eject,10002,4,9,1,inf,1,1,1
114,Travel,None,4,10,1,1,1,1,1
115,Travel,None,4,11,1,1,1,1,1
116,Eject,10003,4,12,1,inf,1,1,1
117,Eject,10003,4,13,1,inf,1,1,1
118,Travel,None,4,14,1,1,1,1,1
119,Travel,None,4,15,1,1,1,1,1
120,Eject,10004,4,16,1,inf,1,1,1
121,Eject,10004,4,17,1,inf,1,1,1
122,Travel,None,4,18,1,1,1,1,1
123,Travel,None,4,19,1,1,1,1,1
124,Eject,10005,4,20,1,inf,1,1,1
125,Eject,10005,4,21,1,inf,1,1,1
126,Travel,None,4,22,1,1,1,1,1
127,Travel,None,4,23,1,1,1,1,1
128,Travel,None,4,24,1,inf,1,1,1
129,Induct,1006,4,25,inf,inf,1,1,1
130,Induct,1007,5,0,1,1,inf,inf,1
131,Travel,None,5,1,1,1,1,inf,1
132,Travel,None,5,2,1,1,1,1,1
133,Travel,None,5,3,1,1,1,1,1
134,Eject,10006,5,4,1,1,1,inf,1
135,Eject,10006,5,5,1,1,1,inf,1
136,Travel,None,5,6,1,1,1,1,1
137,Travel,None,5,7,1,1,1,1,1
138,Eject,10007,5,8,1,1,1,inf,1
139,Eject,10007,5,9,1,1,1,inf,1
140,Travel,None,5,10,1,1,1,1,1
141,Travel,None,5,11,1,1,1,1,1
142,Eject,10008,5,12,1,1,1,inf,1
143,Eject,10008,5,13,1,1,1,inf,1
144,Travel,None,5,14,1,1,1,1,1
145,Travel,None,5,15,1,1,1,1,1
146,Eject,10009,5,16,1,1,1,inf,1
147,Eject,10009,5,17,1,1,1,inf,1
148,Travel,None,5,18,1,1,1,1,1
149,Travel,None,5,19,1,1,1,1,1
150,Eject,10010,5,20,1,1,1,inf,1
151,Eject,10010,5,21,1,1,1,inf,1
152,Travel,None,5,22,1,1,1,1,1
153,Travel,None,5,23,1,1,1,1,1
154,Travel,None,5,24,1,1,1,inf,1
155,Induct,1008,5,25,inf,1,1,inf,1
156,Obstacle,None,6,0,inf,inf,inf,inf,inf
157,Obstacle,None,6,1,inf,inf,inf,inf,inf
158,Travel,None,6,2,1,1,inf,1,1
159,Eject,10006,6,3,inf,1,1,1,1
160,Obstacle,None,6,4,inf,inf,inf,inf,inf
161,Obstacle,None,6,5,inf,inf,inf,inf,inf
162,Eject,10006,6,6,1,1,inf,1,1
163,Eject,10007,6,7,inf,1,1,1,1
164,Obstacle,None,6,8,inf,inf,inf,inf,inf
165,Obstacle,None,6,9,inf,inf,inf,inf,inf
166,Eject,10007,6,10,1,1,inf,1,1
167,Eject,10008,6,11,inf,1,1,1,1
168,Obstacle,None,6,12,inf,inf,inf,inf,inf
169,Obstacle,None,6,13,inf,inf,inf,inf,inf
170,Eject,10008,6,14,1,1,inf,1,1
171,Eject,10009,6,15,inf,1,1,1,1
172,Obstacle,None,6,16,inf,inf,inf,inf,inf
173,Obstacle,None,6,17,inf,inf,inf,inf,inf
174,Eject,10009,6,18,1,1,inf,1,1
175,Eject,10010,6,19,inf,1,1,1,1
176,Obstacle,None,6,20,inf,inf,inf,inf,inf
177,Obstacle,None,6,21,inf,inf,inf,inf,inf
178,Eject,10010,6,22,1,1,inf,1,1
179,Travel,None,6,23,inf,1,1,1,1
180,Obstacle,None,6,24,inf,inf,inf,inf,inf
181,Obstacle,None,6,25,inf,inf,inf,inf,inf
182,Obstacle,None,7,0,inf,inf,inf,inf,inf
183,Obstacle,None,7,1,inf,inf,inf,inf,inf
184,Travel,None,7,2,1,1,inf,1,1
185,Eject,10006,7,3,inf,1,1,1,1
186,Obstacle,None,7,4,inf,inf,inf,inf,inf
187,Obstacle,None,7,5,inf,inf,inf,inf,inf
188,Eject,10006,7,6,1,1,inf,1,1
189,Eject,10007,7,7,inf,1,1,1,1
190,Obstacle,None,7,8,inf,inf,inf,inf,inf
191,Obstacle,None,7,9,inf,inf,inf,inf,inf
192,Eject,10007,7,10,1,1,inf,1,1
193,Eject,10008,7,11,inf,1,1,1,1
194,Obstacle,None,7,12,inf,inf,inf,inf,inf
195,Obstacle,None,7,13,inf,inf,inf,inf,inf
196,Eject,10008,7,14,1,1,inf,1,1
197,Eject,10009,7,15,inf,1,1,1,1
198,Obstacle,None,7,16,inf,inf,inf,inf,inf
199,Obstacle,None,7,17,inf,inf,inf,inf,inf
200,Eject,10009,7,18,1,1,inf,1,1
201,Eject,10010,7,19,inf,1,1,1,1
202,Obstacle,None,7,20,inf,inf,inf,inf,inf
203,Obstacle,None,7,21,inf,inf,inf,inf,inf
204,Eject,10010,7,22,1,1,inf,1,1
205,Travel,None,7,23,inf,1,1,1,1
206,Obstacle,None,7,24,inf,inf,inf,inf,inf
207,Obstacle,None,7,25,inf,inf,inf,inf,inf
208,Induct,1009,8,0,1,inf,inf,1,1
209,Travel,None,8,1,1,inf,1,1,1
210,Travel,None,8,2,1,1,1,1,1
211,Travel,None,8,3,1,1,1,1,1
212,Eject,10006,8,4,1,inf,1,1,1
213,Eject,10006,8,5,1,inf,1,1,1
214,Travel,None,8,6,1,1,1,1,1
215,Travel,None,8,7,1,1,1,1,1
216,Eject,10007,8,8,1,inf,1,1,1
217,Eject,10007,8,9,1,inf,1,1,1
218,Travel,None,8,10,1,1,1,1,1
219,Travel,None,8,11,1,1,1,1,1
220,Eject,10008,8,12,1,inf,1,1,1
221,Eject,10008,8,13,1,inf,1,1,1
222,Travel,None,8,14,1,1,1,1,1
223,Travel,None,8,15,1,1,1,1,1
