Grid size (x, y)
64,64
id,type,station,x,y,weight_to_NORTH,weight_to_WEST,weight_to_SOUTH,weight_to_EAST,weight_for_WAIT
0,Travel,None,0,0,inf,inf,inf,1,1
1,Obstacle,None,0,1,inf,inf,inf,inf,inf
2,Travel,None,0,2,1,inf,inf,1,1
3,Travel,None,0,3,1,inf,1,1,1
4,Travel,None,0,4,inf,inf,1,1,1
5,Obstacle,None,0,5,inf,inf,inf,inf,inf
6,Travel,None,0,6,inf,inf,inf,1,1
7,Obstacle,None,0,7,inf,inf,inf,inf,inf
8,Travel,None,0,8,1,inf,inf,1,1
9,Travel,None,0,9,1,inf,1,1,1
10,Travel,None,0,10,1,inf,1,1,1
11,Travel,None,0,11,1,inf,1,1,1
12,Travel,None,0,12,1,inf,1,1,1
13,Travel,None,0,13,1,inf,1,1,1
14,Travel,None,0,14,1,inf,1,1,1
15,Travel,None,0,15,1,inf,1,1,1
16,Travel,None,0,16,1,inf,1,1,1
17,Travel,None,0,17,1,inf,1,1,1
18,Travel,None,0,18,1,inf,1,1,1
19,Travel,None,0,19,1,inf,1,1,1
20,Travel,None,0,20,1,inf,1,1,1
21,Travel,None,0,21,1,inf,1,inf,1
22,Travel,None,0,22,1,inf,1,1,1
23,Travel,None,0,23,1,inf,1,1,1
24,Travel,None,0,24,1,inf,1,1,1
25,Travel,None,0,25,1,inf,1,inf,1
26,Travel,None,0,26,1,inf,1,1,1
27,Travel,None,0,27,1,inf,1,1,1
28,Travel,None,0,28,1,inf,1,1,1
29,Travel,None,0,29,1,inf,1,1,1
30,Travel,None,0,30,1,inf,1,1,1
31,Travel,None,0,31,inf,inf,1,1,1
32,Obstacle,None,0,32,inf,inf,inf,inf,inf
33,Travel,None,0,33,1,inf,inf,1,1
34,Travel,None,0,34,1,inf,1,1,1
35,Travel,None,0,35,inf,inf,1,inf,1
36,Obstacle,None,0,36,inf,inf,inf,inf,inf
37,Travel,None,0,37,1,inf,inf,1,1
38,Travel,None,0,38,1,inf,1,1,1
39,Travel,None,0,39,1,inf,1,1,1
40,Travel,None,0,40,1,inf,1,1,1
41,Travel,None,0,41,inf,inf,1,1,1
42,Obstacle,None,0,42,inf,inf,inf,inf,inf
43,Travel,None,0,43,1,inf,inf,1,1
44,Travel,None,0,44,1,inf,1,1,1
45,Travel,None,0,45,inf,inf,1,inf,1
46,Obstacle,None,0,46,inf,inf,inf,inf,inf
47,Travel,None,0,47,1,inf,inf,1,1
48,Travel,None,0,48,1,inf,1,1,1
49,Travel,None,0,49,1,inf,1,1,1
50,Travel,None,0,50,1,inf,1,inf,1
51,Travel,None,0,51,1,inf,1,1,1
52,Travel,None,0,52,1,inf,1,1,1
53,Travel,None,0,53,1,inf,1,1,1
54,Travel,None,0,54,1,inf,1,1,1
55,Travel,None,0,55,1,inf,1,1,1
56,Travel,None,0,56,1,inf,1,1,1
